GASVISION_FILEVERSION;4;7.0.1;;;;;;;;;;;;;;;;;;;
DECIMALSEPARATOR;,;;;;;;;;;;;;;;;;;;;;
DATESEPARATOR;.;;;;;;;;;;;;;;;;;;;;
SHORTDATEforMAT;dd/MM/yyyy;;;;;;;;;;;;;;;;;;;;
TIMESEPARATOR;:;;;;;;;;;;;;;;;;;;;;
TIMEAMSTRING;;;;;;;;;;;;;;;;;;;;;
TIMEPMSTRING;;;;;;;;;;;;;;;;;;;;;
LONGTIMEforMAT;hh:mm:ss;;;;;;;;;;;;;;;;;;;;
SESSION_HEADER;Online;1;11.07.2017;11:48:37;13.07.2017;20:52:36;Polytron;7000;ARYE0794;8.0;;;;;;;;;;;
GASTYPE;H2O2;;;;;;;;;;;;;;;;;;;;
UNITNAME;ppm;;;;;;;;;;;;;;;;;;;;
GAS_A1;1;;;;;;;;;;;;;;;;;;;;
GAS_A2;2;;;;;;;;;;;;;;;;;;;;
RANGE;300;;;;;;;;;;;;;;;;;;;;
SERIALNO;ARCJ0042;;;;;;;;;;;;;;;;;;;;
PARTNO;6809705;;;;;;;;;;;;;;;;;;;;
CALDATE;03.04.2017;;;;;;;;;;;;;;;;;;;;
SENSORTYPE;EC;;;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:28:35;23,69;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:29:35;22,77;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:30:35;21,96;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:31:35;20,82;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:32:35;19,99;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:33:35;19,12;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:34:35;18,32;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:35:35;17,56;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:36:35;16,77;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:37:35;16,1;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:38:35;15,46;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:39:35;14,92;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:40:35;14,33;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:41:35;13,95;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:42:35;13,4;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:43:35;13,35;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:44:35;13,57;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:45:35;13,41;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:46:35;13,14;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:47:35;13,1;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:48:35;12,89;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;15:49:35;12,63;;;;;;;;;;;;;;;;;;
